"featureNames","featureDescriptions"
"c8_end3'distMean","For sites of class 8: Mean distance from 3' end"
"c8_end3'distMedian","For sites of class 8: Median distance from 3' end"
"c8_end3'distVar","For sites of class 8: Variance of distance from 3' end"
"c8_stopdistMean","For sites of class 8: Mean distance from stop codon"
"c8_stopdistMedian","For sites of class 8: Median distance from stop codon"
"c8_stopdistVar","For sites of class 8: Variance of distance from stop codon"
"c8_bindEnMin","For sites of class 8: Minimum site binding energy value"
"c8_bindEnMean","For sites of class 8: Mean site binding energy"
"c8_bindEnVar","For sites of class 8: Variance of site binding energy"
"c8_bindEnMedian","For sites of class 8: Median site binding energy"
"c8_5'UTRFreq","For sites of class 8: Frequency of sites in 5'UTR"
"c8_CDSFreq","For sites of class 8: Frequency of sites in CDS"
"c8_3'UTRFreq","For sites of class 8: Frequency of sites in 3'UTR"
"c8_RISCAccEngMean","For sites of class 8: Mean energy needed to make sites accessible to RISC"
"c8_RISCAccEngMedian","For sites of class 8: Median energy needed to make sites accessible to RISC"
"c8_RISCAccEngMin","For sites of class 8: Min value of energy needed to make a site accessible to RISC"
"c8_RISCAccEngVar","For sites of class 8: Variance of energy needed to make sites accessible to RISC"
"c8_NearEngDiffMean","For sites of class 8: Mean diffence in binding energy between sites and their nearby regions"
"c8_NearEngDiffMin","For sites of class 8: Median diffence in binding energy between sites and their nearby regions"
"c8_NearEngDiffMedian","For sites of class 8: Min value of diffence in binding energy between a site and its nearby region"
"c8_NearEngDiffVar","For sites of class 8: Variance of diffence in binding energy between sites and their nearby regions"
"c9_end3'distMean","For sites of class 9: Mean distance from 3' end"
"c9_end3'distMedian","For sites of class 9: Median distance from 3' end"
"c9_end3'distVar","For sites of class 9: Variance of distance from 3' end"
"c9_stopdistMean","For sites of class 9: Mean distance from stop codon"
"c9_stopdistMedian","For sites of class 9: Median distance from stop codon"
"c9_stopdistVar","For sites of class 9: Variance of distance from stop codon"
"c9_bindEnMin","For sites of class 9: Minimum site binding energy value"
"c9_bindEnMean","For sites of class 9: Mean site binding energy"
"c9_bindEnVar","For sites of class 9: Variance of site binding energy"
"c9_bindEnMedian","For sites of class 9: Median site binding energy"
"c9_5'UTRFreq","For sites of class 9: Frequency of sites in 5'UTR"
"c9_CDSFreq","For sites of class 9: Frequency of sites in CDS"
"c9_3'UTRFreq","For sites of class 9: Frequency of sites in 3'UTR"
"c9_RISCAccEngMean","For sites of class 9: Mean energy needed to make sites accessible to RISC"
"c9_RISCAccEngMedian","For sites of class 9: Median energy needed to make sites accessible to RISC"
"c9_RISCAccEngMin","For sites of class 9: Min value of energy needed to make a site accessible to RISC"
"c9_RISCAccEngVar","For sites of class 9: Variance of energy needed to make sites accessible to RISC"
"c9_NearEngDiffMean","For sites of class 9: Mean diffence in binding energy between sites and their nearby regions"
"c9_NearEngDiffMin","For sites of class 9: Median diffence in binding energy between sites and their nearby regions"
"c9_NearEngDiffMedian","For sites of class 9: Min value of diffence in binding energy between a site and its nearby region"
"c9_NearEngDiffVar","For sites of class 9: Variance of diffence in binding energy between sites and their nearby regions"
"c6_freqStart3","For sites of class 6: Frequency of centered sites where the match starts at position 3"
"c6_freqStart4","For sites of class 6: Frequency of centered sites where the match starts at position 4"
