"featureNames","featureDescriptions"
"c6_freqA16","For sites of class 6: Frequency of adenine at position 16"
"c6_freqA17","For sites of class 6: Frequency of adenine at position 17"
"c6_freqA18","For sites of class 6: Frequency of adenine at position 18"
"c6_freqA19","For sites of class 6: Frequency of adenine at position 19"
"c6_freqA20","For sites of class 6: Frequency of adenine at position 20"
"c6_freqA21","For sites of class 6: Frequency of adenine at position 21"
"c6_freqA22","For sites of class 6: Frequency of adenine at position 22"
"c6_freqA23","For sites of class 6: Frequency of adenine at position 23"
"c6_freqA24","For sites of class 6: Frequency of adenine at position 24"
"c6_freqA25","For sites of class 6: Frequency of adenine at position 25"
"c6_freqA26","For sites of class 6: Frequency of adenine at position 26"
"c6_freqA27","For sites of class 6: Frequency of adenine at position 27"
"c6_freqA28","For sites of class 6: Frequency of adenine at position 28"
"c6_freqA29","For sites of class 6: Frequency of adenine at position 29"
"c6_freqA30","For sites of class 6: Frequency of adenine at position 30"
"c6_freqU-10","For sites of class 6: Frequency of uracil at position -10"
"c6_freqU-9","For sites of class 6: Frequency of uracil at position -9"
"c6_freqU-8","For sites of class 6: Frequency of uracil at position -8"
"c6_freqU-7","For sites of class 6: Frequency of uracil at position -7"
"c6_freqU-6","For sites of class 6: Frequency of uracil at position -6"
"c6_freqU-5","For sites of class 6: Frequency of uracil at position -5"
"c6_freqU-4","For sites of class 6: Frequency of uracil at position -4"
"c6_freqU-3","For sites of class 6: Frequency of uracil at position -3"
"c6_freqU-2","For sites of class 6: Frequency of uracil at position -2"
"c6_freqU-1","For sites of class 6: Frequency of uracil at position -1"
"c6_freqU1","For sites of class 6: Frequency of uracil at position 1"
"c6_freqU2","For sites of class 6: Frequency of uracil at position 2"
"c6_freqU3","For sites of class 6: Frequency of uracil at position 3"
"c6_freqU4","For sites of class 6: Frequency of uracil at position 4"
"c6_freqU5","For sites of class 6: Frequency of uracil at position 5"
"c6_freqU6","For sites of class 6: Frequency of uracil at position 6"
"c6_freqU7","For sites of class 6: Frequency of uracil at position 7"
"c6_freqU8","For sites of class 6: Frequency of uracil at position 8"
"c6_freqU9","For sites of class 6: Frequency of uracil at position 9"
"c6_freqU10","For sites of class 6: Frequency of uracil at position 10"
"c6_freqU11","For sites of class 6: Frequency of uracil at position 11"
"c6_freqU12","For sites of class 6: Frequency of uracil at position 12"
"c6_freqU13","For sites of class 6: Frequency of uracil at position 13"
"c6_freqU14","For sites of class 6: Frequency of uracil at position 14"
"c6_freqU15","For sites of class 6: Frequency of uracil at position 15"
"c6_freqU16","For sites of class 6: Frequency of uracil at position 16"
"c6_freqU17","For sites of class 6: Frequency of uracil at position 17"
"c6_freqU18","For sites of class 6: Frequency of uracil at position 18"
"c6_freqU19","For sites of class 6: Frequency of uracil at position 19"
"c6_freqU20","For sites of class 6: Frequency of uracil at position 20"
"c6_freqU21","For sites of class 6: Frequency of uracil at position 21"
"c6_freqU22","For sites of class 6: Frequency of uracil at position 22"
"c6_freqU23","For sites of class 6: Frequency of uracil at position 23"
"c6_freqU24","For sites of class 6: Frequency of uracil at position 24"
"c6_freqU25","For sites of class 6: Frequency of uracil at position 25"
"c6_freqU26","For sites of class 6: Frequency of uracil at position 26"
"c6_freqU27","For sites of class 6: Frequency of uracil at position 27"
"c6_freqU28","For sites of class 6: Frequency of uracil at position 28"
"c6_freqU29","For sites of class 6: Frequency of uracil at position 29"
"c6_freqU30","For sites of class 6: Frequency of uracil at position 30"
"c6_freqG-10","For sites of class 6: Frequency of guanine at position -10"
"c6_freqG-9","For sites of class 6: Frequency of guanine at position -9"
"c6_freqG-8","For sites of class 6: Frequency of guanine at position -8"
"c6_freqG-7","For sites of class 6: Frequency of guanine at position -7"
"c6_freqG-6","For sites of class 6: Frequency of guanine at position -6"
"c6_freqG-5","For sites of class 6: Frequency of guanine at position -5"
"c6_freqG-4","For sites of class 6: Frequency of guanine at position -4"
"c6_freqG-3","For sites of class 6: Frequency of guanine at position -3"
"c6_freqG-2","For sites of class 6: Frequency of guanine at position -2"
"c6_freqG-1","For sites of class 6: Frequency of guanine at position -1"
"c6_freqG1","For sites of class 6: Frequency of guanine at position 1"
"c6_freqG2","For sites of class 6: Frequency of guanine at position 2"
"c6_freqG3","For sites of class 6: Frequency of guanine at position 3"
"c6_freqG4","For sites of class 6: Frequency of guanine at position 4"
"c6_freqG5","For sites of class 6: Frequency of guanine at position 5"
"c6_freqG6","For sites of class 6: Frequency of guanine at position 6"
"c6_freqG7","For sites of class 6: Frequency of guanine at position 7"
"c6_freqG8","For sites of class 6: Frequency of guanine at position 8"
"c6_freqG9","For sites of class 6: Frequency of guanine at position 9"
"c6_freqG10","For sites of class 6: Frequency of guanine at position 10"
"c6_freqG11","For sites of class 6: Frequency of guanine at position 11"
"c6_freqG12","For sites of class 6: Frequency of guanine at position 12"
"c6_freqG13","For sites of class 6: Frequency of guanine at position 13"
"c6_freqG14","For sites of class 6: Frequency of guanine at position 14"
"c6_freqG15","For sites of class 6: Frequency of guanine at position 15"
"c6_freqG16","For sites of class 6: Frequency of guanine at position 16"
"c6_freqG17","For sites of class 6: Frequency of guanine at position 17"
"c6_freqG18","For sites of class 6: Frequency of guanine at position 18"
"c6_freqG19","For sites of class 6: Frequency of guanine at position 19"
"c6_freqG20","For sites of class 6: Frequency of guanine at position 20"
"c6_freqG21","For sites of class 6: Frequency of guanine at position 21"
"c6_freqG22","For sites of class 6: Frequency of guanine at position 22"
"c6_freqG23","For sites of class 6: Frequency of guanine at position 23"
"c6_freqG24","For sites of class 6: Frequency of guanine at position 24"
"c6_freqG25","For sites of class 6: Frequency of guanine at position 25"
"c6_freqG26","For sites of class 6: Frequency of guanine at position 26"
"c6_freqG27","For sites of class 6: Frequency of guanine at position 27"
"c6_freqG28","For sites of class 6: Frequency of guanine at position 28"
"c6_freqG29","For sites of class 6: Frequency of guanine at position 29"
"c6_freqG30","For sites of class 6: Frequency of guanine at position 30"
"c7_freqA-10","For sites of class 7: Frequency of adenine at position -10"
"c7_freqA-9","For sites of class 7: Frequency of adenine at position -9"
"c7_freqA-8","For sites of class 7: Frequency of adenine at position -8"
"c7_freqA-7","For sites of class 7: Frequency of adenine at position -7"
"c7_freqA-6","For sites of class 7: Frequency of adenine at position -6"
"c7_freqA-5","For sites of class 7: Frequency of adenine at position -5"
"c7_freqA-4","For sites of class 7: Frequency of adenine at position -4"
"c7_freqA-3","For sites of class 7: Frequency of adenine at position -3"
"c7_freqA-2","For sites of class 7: Frequency of adenine at position -2"
"c7_freqA-1","For sites of class 7: Frequency of adenine at position -1"
"c7_freqA1","For sites of class 7: Frequency of adenine at position 1"
"c7_freqA2","For sites of class 7: Frequency of adenine at position 2"
"c7_freqA3","For sites of class 7: Frequency of adenine at position 3"
"c7_freqA4","For sites of class 7: Frequency of adenine at position 4"
"c7_freqA5","For sites of class 7: Frequency of adenine at position 5"
"c7_freqA6","For sites of class 7: Frequency of adenine at position 6"
"c7_freqA7","For sites of class 7: Frequency of adenine at position 7"
"c7_freqA8","For sites of class 7: Frequency of adenine at position 8"
"c7_freqA9","For sites of class 7: Frequency of adenine at position 9"
"c7_freqA10","For sites of class 7: Frequency of adenine at position 10"
"c7_freqA11","For sites of class 7: Frequency of adenine at position 11"
"c7_freqA12","For sites of class 7: Frequency of adenine at position 12"
"c7_freqA13","For sites of class 7: Frequency of adenine at position 13"
"c7_freqA14","For sites of class 7: Frequency of adenine at position 14"
"c7_freqA15","For sites of class 7: Frequency of adenine at position 15"
"c7_freqA16","For sites of class 7: Frequency of adenine at position 16"
"c7_freqA17","For sites of class 7: Frequency of adenine at position 17"
"c7_freqA18","For sites of class 7: Frequency of adenine at position 18"
"c7_freqA19","For sites of class 7: Frequency of adenine at position 19"
"c7_freqA20","For sites of class 7: Frequency of adenine at position 20"
"c7_freqA21","For sites of class 7: Frequency of adenine at position 21"
"c7_freqA22","For sites of class 7: Frequency of adenine at position 22"
"c7_freqA23","For sites of class 7: Frequency of adenine at position 23"
"c7_freqA24","For sites of class 7: Frequency of adenine at position 24"
"c7_freqA25","For sites of class 7: Frequency of adenine at position 25"
"c7_freqA26","For sites of class 7: Frequency of adenine at position 26"
"c7_freqA27","For sites of class 7: Frequency of adenine at position 27"
"c7_freqA28","For sites of class 7: Frequency of adenine at position 28"
"c7_freqA29","For sites of class 7: Frequency of adenine at position 29"
"c7_freqA30","For sites of class 7: Frequency of adenine at position 30"
"c7_freqU-10","For sites of class 7: Frequency of uracil at position -10"
"c7_freqU-9","For sites of class 7: Frequency of uracil at position -9"
"c7_freqU-8","For sites of class 7: Frequency of uracil at position -8"
"c7_freqU-7","For sites of class 7: Frequency of uracil at position -7"
"c7_freqU-6","For sites of class 7: Frequency of uracil at position -6"
"c7_freqU-5","For sites of class 7: Frequency of uracil at position -5"
"c7_freqU-4","For sites of class 7: Frequency of uracil at position -4"
"c7_freqU-3","For sites of class 7: Frequency of uracil at position -3"
"c7_freqU-2","For sites of class 7: Frequency of uracil at position -2"
"c7_freqU-1","For sites of class 7: Frequency of uracil at position -1"
"c7_freqU1","For sites of class 7: Frequency of uracil at position 1"
"c7_freqU2","For sites of class 7: Frequency of uracil at position 2"
"c7_freqU3","For sites of class 7: Frequency of uracil at position 3"
"c7_freqU4","For sites of class 7: Frequency of uracil at position 4"
"c7_freqU5","For sites of class 7: Frequency of uracil at position 5"
"c7_freqU6","For sites of class 7: Frequency of uracil at position 6"
"c7_freqU7","For sites of class 7: Frequency of uracil at position 7"
"c7_freqU8","For sites of class 7: Frequency of uracil at position 8"
"c7_freqU9","For sites of class 7: Frequency of uracil at position 9"
"c7_freqU10","For sites of class 7: Frequency of uracil at position 10"
"c7_freqU11","For sites of class 7: Frequency of uracil at position 11"
"c7_freqU12","For sites of class 7: Frequency of uracil at position 12"
"c7_freqU13","For sites of class 7: Frequency of uracil at position 13"
"c7_freqU14","For sites of class 7: Frequency of uracil at position 14"
"c7_freqU15","For sites of class 7: Frequency of uracil at position 15"
"c7_freqU16","For sites of class 7: Frequency of uracil at position 16"
"c7_freqU17","For sites of class 7: Frequency of uracil at position 17"
"c7_freqU18","For sites of class 7: Frequency of uracil at position 18"
"c7_freqU19","For sites of class 7: Frequency of uracil at position 19"
"c7_freqU20","For sites of class 7: Frequency of uracil at position 20"
"c7_freqU21","For sites of class 7: Frequency of uracil at position 21"
"c7_freqU22","For sites of class 7: Frequency of uracil at position 22"
"c7_freqU23","For sites of class 7: Frequency of uracil at position 23"
"c7_freqU24","For sites of class 7: Frequency of uracil at position 24"
"c7_freqU25","For sites of class 7: Frequency of uracil at position 25"
"c7_freqU26","For sites of class 7: Frequency of uracil at position 26"
"c7_freqU27","For sites of class 7: Frequency of uracil at position 27"
"c7_freqU28","For sites of class 7: Frequency of uracil at position 28"
"c7_freqU29","For sites of class 7: Frequency of uracil at position 29"
"c7_freqU30","For sites of class 7: Frequency of uracil at position 30"
"c7_freqG-10","For sites of class 7: Frequency of guanine at position -10"
"c7_freqG-9","For sites of class 7: Frequency of guanine at position -9"
"c7_freqG-8","For sites of class 7: Frequency of guanine at position -8"
"c7_freqG-7","For sites of class 7: Frequency of guanine at position -7"
"c7_freqG-6","For sites of class 7: Frequency of guanine at position -6"
"c7_freqG-5","For sites of class 7: Frequency of guanine at position -5"
"c7_freqG-4","For sites of class 7: Frequency of guanine at position -4"
"c7_freqG-3","For sites of class 7: Frequency of guanine at position -3"
"c7_freqG-2","For sites of class 7: Frequency of guanine at position -2"
"c7_freqG-1","For sites of class 7: Frequency of guanine at position -1"
"c7_freqG1","For sites of class 7: Frequency of guanine at position 1"
"c7_freqG2","For sites of class 7: Frequency of guanine at position 2"
"c7_freqG3","For sites of class 7: Frequency of guanine at position 3"
"c7_freqG4","For sites of class 7: Frequency of guanine at position 4"
"c7_freqG5","For sites of class 7: Frequency of guanine at position 5"
"c7_freqG6","For sites of class 7: Frequency of guanine at position 6"
"c7_freqG7","For sites of class 7: Frequency of guanine at position 7"
"c7_freqG8","For sites of class 7: Frequency of guanine at position 8"
"c7_freqG9","For sites of class 7: Frequency of guanine at position 9"
"c7_freqG10","For sites of class 7: Frequency of guanine at position 10"
"c7_freqG11","For sites of class 7: Frequency of guanine at position 11"
"c7_freqG12","For sites of class 7: Frequency of guanine at position 12"
"c7_freqG13","For sites of class 7: Frequency of guanine at position 13"
"c7_freqG14","For sites of class 7: Frequency of guanine at position 14"
"c7_freqG15","For sites of class 7: Frequency of guanine at position 15"
"c7_freqG16","For sites of class 7: Frequency of guanine at position 16"
"c7_freqG17","For sites of class 7: Frequency of guanine at position 17"
"c7_freqG18","For sites of class 7: Frequency of guanine at position 18"
"c7_freqG19","For sites of class 7: Frequency of guanine at position 19"
"c7_freqG20","For sites of class 7: Frequency of guanine at position 20"
"c7_freqG21","For sites of class 7: Frequency of guanine at position 21"
"c7_freqG22","For sites of class 7: Frequency of guanine at position 22"
"c7_freqG23","For sites of class 7: Frequency of guanine at position 23"
"c7_freqG24","For sites of class 7: Frequency of guanine at position 24"
"c7_freqG25","For sites of class 7: Frequency of guanine at position 25"
"c7_freqG26","For sites of class 7: Frequency of guanine at position 26"
"c7_freqG27","For sites of class 7: Frequency of guanine at position 27"
"c7_freqG28","For sites of class 7: Frequency of guanine at position 28"
"c7_freqG29","For sites of class 7: Frequency of guanine at position 29"
"c7_freqG30","For sites of class 7: Frequency of guanine at position 30"
"c8_freqA-10","For sites of class 8: Frequency of adenine at position -10"
"c8_freqA-9","For sites of class 8: Frequency of adenine at position -9"
"c8_freqA-8","For sites of class 8: Frequency of adenine at position -8"
"c8_freqA-7","For sites of class 8: Frequency of adenine at position -7"
"c8_freqA-6","For sites of class 8: Frequency of adenine at position -6"
"c8_freqA-5","For sites of class 8: Frequency of adenine at position -5"
"c8_freqA-4","For sites of class 8: Frequency of adenine at position -4"
"c8_freqA-3","For sites of class 8: Frequency of adenine at position -3"
"c8_freqA-2","For sites of class 8: Frequency of adenine at position -2"
"c8_freqA-1","For sites of class 8: Frequency of adenine at position -1"
"c8_freqA1","For sites of class 8: Frequency of adenine at position 1"
"c8_freqA2","For sites of class 8: Frequency of adenine at position 2"
"c8_freqA3","For sites of class 8: Frequency of adenine at position 3"
"c8_freqA4","For sites of class 8: Frequency of adenine at position 4"
"c8_freqA5","For sites of class 8: Frequency of adenine at position 5"
"c8_freqA6","For sites of class 8: Frequency of adenine at position 6"
"c8_freqA7","For sites of class 8: Frequency of adenine at position 7"
"c8_freqA8","For sites of class 8: Frequency of adenine at position 8"
"c8_freqA9","For sites of class 8: Frequency of adenine at position 9"
"c8_freqA10","For sites of class 8: Frequency of adenine at position 10"
"c8_freqA11","For sites of class 8: Frequency of adenine at position 11"
"c8_freqA12","For sites of class 8: Frequency of adenine at position 12"
"c8_freqA13","For sites of class 8: Frequency of adenine at position 13"
"c8_freqA14","For sites of class 8: Frequency of adenine at position 14"
"c8_freqA15","For sites of class 8: Frequency of adenine at position 15"
"c8_freqA16","For sites of class 8: Frequency of adenine at position 16"
"c8_freqA17","For sites of class 8: Frequency of adenine at position 17"
"c8_freqA18","For sites of class 8: Frequency of adenine at position 18"
"c8_freqA19","For sites of class 8: Frequency of adenine at position 19"
"c8_freqA20","For sites of class 8: Frequency of adenine at position 20"
"c8_freqA21","For sites of class 8: Frequency of adenine at position 21"
"c8_freqA22","For sites of class 8: Frequency of adenine at position 22"
"c8_freqA23","For sites of class 8: Frequency of adenine at position 23"
"c8_freqA24","For sites of class 8: Frequency of adenine at position 24"
"c8_freqA25","For sites of class 8: Frequency of adenine at position 25"
"c8_freqA26","For sites of class 8: Frequency of adenine at position 26"
"c8_freqA27","For sites of class 8: Frequency of adenine at position 27"
"c8_freqA28","For sites of class 8: Frequency of adenine at position 28"
"c8_freqA29","For sites of class 8: Frequency of adenine at position 29"
"c8_freqA30","For sites of class 8: Frequency of adenine at position 30"
"c8_freqU-10","For sites of class 8: Frequency of uracil at position -10"
"c8_freqU-9","For sites of class 8: Frequency of uracil at position -9"
"c8_freqU-8","For sites of class 8: Frequency of uracil at position -8"
"c8_freqU-7","For sites of class 8: Frequency of uracil at position -7"
"c8_freqU-6","For sites of class 8: Frequency of uracil at position -6"
"c8_freqU-5","For sites of class 8: Frequency of uracil at position -5"
"c8_freqU-4","For sites of class 8: Frequency of uracil at position -4"
"c8_freqU-3","For sites of class 8: Frequency of uracil at position -3"
"c8_freqU-2","For sites of class 8: Frequency of uracil at position -2"
"c8_freqU-1","For sites of class 8: Frequency of uracil at position -1"
"c8_freqU1","For sites of class 8: Frequency of uracil at position 1"
"c8_freqU2","For sites of class 8: Frequency of uracil at position 2"
"c8_freqU3","For sites of class 8: Frequency of uracil at position 3"
"c8_freqU4","For sites of class 8: Frequency of uracil at position 4"
"c8_freqU5","For sites of class 8: Frequency of uracil at position 5"
"c8_freqU6","For sites of class 8: Frequency of uracil at position 6"
"c8_freqU7","For sites of class 8: Frequency of uracil at position 7"
"c8_freqU8","For sites of class 8: Frequency of uracil at position 8"
"c8_freqU9","For sites of class 8: Frequency of uracil at position 9"
"c8_freqU10","For sites of class 8: Frequency of uracil at position 10"
"c8_freqU11","For sites of class 8: Frequency of uracil at position 11"
"c8_freqU12","For sites of class 8: Frequency of uracil at position 12"
"c8_freqU13","For sites of class 8: Frequency of uracil at position 13"
"c8_freqU14","For sites of class 8: Frequency of uracil at position 14"
"c8_freqU15","For sites of class 8: Frequency of uracil at position 15"
"c8_freqU16","For sites of class 8: Frequency of uracil at position 16"
"c8_freqU17","For sites of class 8: Frequency of uracil at position 17"
"c8_freqU18","For sites of class 8: Frequency of uracil at position 18"
"c8_freqU19","For sites of class 8: Frequency of uracil at position 19"
"c8_freqU20","For sites of class 8: Frequency of uracil at position 20"
"c8_freqU21","For sites of class 8: Frequency of uracil at position 21"
"c8_freqU22","For sites of class 8: Frequency of uracil at position 22"
"c8_freqU23","For sites of class 8: Frequency of uracil at position 23"
"c8_freqU24","For sites of class 8: Frequency of uracil at position 24"
"c8_freqU25","For sites of class 8: Frequency of uracil at position 25"
"c8_freqU26","For sites of class 8: Frequency of uracil at position 26"
"c8_freqU27","For sites of class 8: Frequency of uracil at position 27"
"c8_freqU28","For sites of class 8: Frequency of uracil at position 28"
"c8_freqU29","For sites of class 8: Frequency of uracil at position 29"
"c8_freqU30","For sites of class 8: Frequency of uracil at position 30"
"c8_freqG-10","For sites of class 8: Frequency of guanine at position -10"
"c8_freqG-9","For sites of class 8: Frequency of guanine at position -9"
"c8_freqG-8","For sites of class 8: Frequency of guanine at position -8"
"c8_freqG-7","For sites of class 8: Frequency of guanine at position -7"
"c8_freqG-6","For sites of class 8: Frequency of guanine at position -6"
"c8_freqG-5","For sites of class 8: Frequency of guanine at position -5"
"c8_freqG-4","For sites of class 8: Frequency of guanine at position -4"
"c8_freqG-3","For sites of class 8: Frequency of guanine at position -3"
"c8_freqG-2","For sites of class 8: Frequency of guanine at position -2"
"c8_freqG-1","For sites of class 8: Frequency of guanine at position -1"
"c8_freqG1","For sites of class 8: Frequency of guanine at position 1"
"c8_freqG2","For sites of class 8: Frequency of guanine at position 2"
"c8_freqG3","For sites of class 8: Frequency of guanine at position 3"
"c8_freqG4","For sites of class 8: Frequency of guanine at position 4"
"c8_freqG5","For sites of class 8: Frequency of guanine at position 5"
"c8_freqG6","For sites of class 8: Frequency of guanine at position 6"
"c8_freqG7","For sites of class 8: Frequency of guanine at position 7"
"c8_freqG8","For sites of class 8: Frequency of guanine at position 8"
"c8_freqG9","For sites of class 8: Frequency of guanine at position 9"
"c8_freqG10","For sites of class 8: Frequency of guanine at position 10"
"c8_freqG11","For sites of class 8: Frequency of guanine at position 11"
"c8_freqG12","For sites of class 8: Frequency of guanine at position 12"
"c8_freqG13","For sites of class 8: Frequency of guanine at position 13"
"c8_freqG14","For sites of class 8: Frequency of guanine at position 14"
"c8_freqG15","For sites of class 8: Frequency of guanine at position 15"
"c8_freqG16","For sites of class 8: Frequency of guanine at position 16"
"c8_freqG17","For sites of class 8: Frequency of guanine at position 17"
"c8_freqG18","For sites of class 8: Frequency of guanine at position 18"
"c8_freqG19","For sites of class 8: Frequency of guanine at position 19"
"c8_freqG20","For sites of class 8: Frequency of guanine at position 20"
"c8_freqG21","For sites of class 8: Frequency of guanine at position 21"
"c8_freqG22","For sites of class 8: Frequency of guanine at position 22"
"c8_freqG23","For sites of class 8: Frequency of guanine at position 23"
"c8_freqG24","For sites of class 8: Frequency of guanine at position 24"
"c8_freqG25","For sites of class 8: Frequency of guanine at position 25"
"c8_freqG26","For sites of class 8: Frequency of guanine at position 26"
"c8_freqG27","For sites of class 8: Frequency of guanine at position 27"
"c8_freqG28","For sites of class 8: Frequency of guanine at position 28"
"c8_freqG29","For sites of class 8: Frequency of guanine at position 29"
"c8_freqG30","For sites of class 8: Frequency of guanine at position 30"
"c9_freqA-10","For sites of class 9: Frequency of adenine at position -10"
"c9_freqA-9","For sites of class 9: Frequency of adenine at position -9"
"c9_freqA-8","For sites of class 9: Frequency of adenine at position -8"
"c9_freqA-7","For sites of class 9: Frequency of adenine at position -7"
"c9_freqA-6","For sites of class 9: Frequency of adenine at position -6"
"c9_freqA-5","For sites of class 9: Frequency of adenine at position -5"
"c9_freqA-4","For sites of class 9: Frequency of adenine at position -4"
"c9_freqA-3","For sites of class 9: Frequency of adenine at position -3"
"c9_freqA-2","For sites of class 9: Frequency of adenine at position -2"
"c9_freqA-1","For sites of class 9: Frequency of adenine at position -1"
"c9_freqA1","For sites of class 9: Frequency of adenine at position 1"
"c9_freqA2","For sites of class 9: Frequency of adenine at position 2"
"c9_freqA3","For sites of class 9: Frequency of adenine at position 3"
"c9_freqA4","For sites of class 9: Frequency of adenine at position 4"
"c9_freqA5","For sites of class 9: Frequency of adenine at position 5"
"c9_freqA6","For sites of class 9: Frequency of adenine at position 6"
"c9_freqA7","For sites of class 9: Frequency of adenine at position 7"
"c9_freqA8","For sites of class 9: Frequency of adenine at position 8"
"c9_freqA9","For sites of class 9: Frequency of adenine at position 9"
"c9_freqA10","For sites of class 9: Frequency of adenine at position 10"
"c9_freqA11","For sites of class 9: Frequency of adenine at position 11"
"c9_freqA12","For sites of class 9: Frequency of adenine at position 12"
"c9_freqA13","For sites of class 9: Frequency of adenine at position 13"
"c9_freqA14","For sites of class 9: Frequency of adenine at position 14"
"c9_freqA15","For sites of class 9: Frequency of adenine at position 15"
"c9_freqA16","For sites of class 9: Frequency of adenine at position 16"
"c9_freqA17","For sites of class 9: Frequency of adenine at position 17"
"c9_freqA18","For sites of class 9: Frequency of adenine at position 18"
"c9_freqA19","For sites of class 9: Frequency of adenine at position 19"
"c9_freqA20","For sites of class 9: Frequency of adenine at position 20"
"c9_freqA21","For sites of class 9: Frequency of adenine at position 21"
"c9_freqA22","For sites of class 9: Frequency of adenine at position 22"
"c9_freqA23","For sites of class 9: Frequency of adenine at position 23"
"c9_freqA24","For sites of class 9: Frequency of adenine at position 24"
"c9_freqA25","For sites of class 9: Frequency of adenine at position 25"
"c9_freqA26","For sites of class 9: Frequency of adenine at position 26"
"c9_freqA27","For sites of class 9: Frequency of adenine at position 27"
"c9_freqA28","For sites of class 9: Frequency of adenine at position 28"
"c9_freqA29","For sites of class 9: Frequency of adenine at position 29"
"c9_freqA30","For sites of class 9: Frequency of adenine at position 30"
"c9_freqU-10","For sites of class 9: Frequency of uracil at position -10"
"c9_freqU-9","For sites of class 9: Frequency of uracil at position -9"
"c9_freqU-8","For sites of class 9: Frequency of uracil at position -8"
"c9_freqU-7","For sites of class 9: Frequency of uracil at position -7"
"c9_freqU-6","For sites of class 9: Frequency of uracil at position -6"
"c9_freqU-5","For sites of class 9: Frequency of uracil at position -5"
"c9_freqU-4","For sites of class 9: Frequency of uracil at position -4"
"c9_freqU-3","For sites of class 9: Frequency of uracil at position -3"
"c9_freqU-2","For sites of class 9: Frequency of uracil at position -2"
"c9_freqU-1","For sites of class 9: Frequency of uracil at position -1"
"c9_freqU1","For sites of class 9: Frequency of uracil at position 1"
"c9_freqU2","For sites of class 9: Frequency of uracil at position 2"
"c9_freqU3","For sites of class 9: Frequency of uracil at position 3"
"c9_freqU4","For sites of class 9: Frequency of uracil at position 4"
"c9_freqU5","For sites of class 9: Frequency of uracil at position 5"
"c9_freqU6","For sites of class 9: Frequency of uracil at position 6"
"c9_freqU7","For sites of class 9: Frequency of uracil at position 7"
"c9_freqU8","For sites of class 9: Frequency of uracil at position 8"
"c9_freqU9","For sites of class 9: Frequency of uracil at position 9"
"c9_freqU10","For sites of class 9: Frequency of uracil at position 10"
"c9_freqU11","For sites of class 9: Frequency of uracil at position 11"
"c9_freqU12","For sites of class 9: Frequency of uracil at position 12"
"c9_freqU13","For sites of class 9: Frequency of uracil at position 13"
"c9_freqU14","For sites of class 9: Frequency of uracil at position 14"
"c9_freqU15","For sites of class 9: Frequency of uracil at position 15"
"c9_freqU16","For sites of class 9: Frequency of uracil at position 16"
"c9_freqU17","For sites of class 9: Frequency of uracil at position 17"
"c9_freqU18","For sites of class 9: Frequency of uracil at position 18"
"c9_freqU19","For sites of class 9: Frequency of uracil at position 19"
"c9_freqU20","For sites of class 9: Frequency of uracil at position 20"
"c9_freqU21","For sites of class 9: Frequency of uracil at position 21"
"c9_freqU22","For sites of class 9: Frequency of uracil at position 22"
"c9_freqU23","For sites of class 9: Frequency of uracil at position 23"
"c9_freqU24","For sites of class 9: Frequency of uracil at position 24"
"c9_freqU25","For sites of class 9: Frequency of uracil at position 25"
"c9_freqU26","For sites of class 9: Frequency of uracil at position 26"
"c9_freqU27","For sites of class 9: Frequency of uracil at position 27"
"c9_freqU28","For sites of class 9: Frequency of uracil at position 28"
"c9_freqU29","For sites of class 9: Frequency of uracil at position 29"
"c9_freqU30","For sites of class 9: Frequency of uracil at position 30"
"c9_freqG-10","For sites of class 9: Frequency of guanine at position -10"
"c9_freqG-9","For sites of class 9: Frequency of guanine at position -9"
"c9_freqG-8","For sites of class 9: Frequency of guanine at position -8"
"c9_freqG-7","For sites of class 9: Frequency of guanine at position -7"
"c9_freqG-6","For sites of class 9: Frequency of guanine at position -6"
"c9_freqG-5","For sites of class 9: Frequency of guanine at position -5"
"c9_freqG-4","For sites of class 9: Frequency of guanine at position -4"
"c9_freqG-3","For sites of class 9: Frequency of guanine at position -3"
"c9_freqG-2","For sites of class 9: Frequency of guanine at position -2"
"c9_freqG-1","For sites of class 9: Frequency of guanine at position -1"
"c9_freqG1","For sites of class 9: Frequency of guanine at position 1"
"c9_freqG2","For sites of class 9: Frequency of guanine at position 2"
"c9_freqG3","For sites of class 9: Frequency of guanine at position 3"
"c9_freqG4","For sites of class 9: Frequency of guanine at position 4"
"c9_freqG5","For sites of class 9: Frequency of guanine at position 5"
"c9_freqG6","For sites of class 9: Frequency of guanine at position 6"
"c9_freqG7","For sites of class 9: Frequency of guanine at position 7"
"c9_freqG8","For sites of class 9: Frequency of guanine at position 8"
"c9_freqG9","For sites of class 9: Frequency of guanine at position 9"
"c9_freqG10","For sites of class 9: Frequency of guanine at position 10"
"c9_freqG11","For sites of class 9: Frequency of guanine at position 11"
"c9_freqG12","For sites of class 9: Frequency of guanine at position 12"
"c9_freqG13","For sites of class 9: Frequency of guanine at position 13"
"c9_freqG14","For sites of class 9: Frequency of guanine at position 14"
"c9_freqG15","For sites of class 9: Frequency of guanine at position 15"
"c9_freqG16","For sites of class 9: Frequency of guanine at position 16"
"c9_freqG17","For sites of class 9: Frequency of guanine at position 17"
"c9_freqG18","For sites of class 9: Frequency of guanine at position 18"
"c9_freqG19","For sites of class 9: Frequency of guanine at position 19"
"c9_freqG20","For sites of class 9: Frequency of guanine at position 20"
"c9_freqG21","For sites of class 9: Frequency of guanine at position 21"
"c9_freqG22","For sites of class 9: Frequency of guanine at position 22"
